permno,date,RET
77926,2001-06-29,-0.072848
77926,2001-07-31,0.018571
77926,2001-08-31,-0.095372
77926,2001-09-28,-0.306202
77926,2001-10-31,0.283799
77926,2001-11-30,0.166231
77926,2001-12-31,0.026119
77926,2002-01-31,-0.055273
77926,2002-02-28,0.009238
77926,2002-03-28,0.094584
77926,2002-04-30,0.089199
77926,2002-05-31,-0.026232
77926,2002-06-28,-0.059133
77926,2002-07-31,-0.089385
77926,2002-08-30,-0.079755
77926,2002-09-30,-0.220833
77926,2002-10-31,-0.192513
77926,2002-11-29,0.080795
77926,2002-12-31,-0.148284
77926,2003-01-31,-0.064748
77926,2003-02-28,-0.035385
77926,2003-03-31,0.15311
77926,2003-04-30,0.136929
77926,2003-05-30,0.034063
77926,2003-06-30,0.087059
77926,2003-07-31,0.125541
77926,2003-08-29,0.186539
77926,2003-09-30,-0.034846
77926,2003-10-31,0.233417
77926,2003-11-28,-0.06467
77926,2003-12-31,0.077875
77926,2004-01-30,-0.078326
77926,2004-02-27,0.184615
77926,2004-03-31,0.05133
77926,2004-04-30,-0.082353
77926,2004-05-28,-0.025641
77926,2004-06-30,-0.003947
77926,2004-07-30,-0.075297
77926,2004-08-31,-0.035714
77926,2004-09-30,-0.268889
77926,2004-10-29,-0.027356
77926,2004-11-30,0.020833
77926,2004-12-31,0.15102
77926,2005-01-31,-0.129433
77926,2005-02-28,0.089613
77926,2005-03-31,0.093458
77926,2005-04-29,-0.064957
77926,2005-05-31,0.018282
77926,2005-06-30,0.235188
77926,2005-07-29,-0.031977
77926,2005-08-31,0.317568
77926,2005-09-30,-0.011396
77926,2005-10-31,-0.072046
77926,2005-11-30,0.121739
77926,2005-12-30,-0.100775
77926,2006-01-31,0.01601
77926,2006-02-28,0.00303
77926,2006-03-31,-0.004834
77926,2006-04-28,0.010929
82311,2000-01-31,-0.005208
82311,2000-02-29,0.026178
82311,2000-03-31,-0.117347
82311,2000-04-28,-0.013873
82311,2000-05-31,-0.159763
82311,2000-06-30,0.014085
82311,2000-07-31,-0.125
82311,2000-08-31,0.063492
82311,2000-09-29,-0.134328
82311,2000-10-31,0.008621
82311,2000-11-30,-0.17094
82311,2000-12-29,-0.010309
82311,2001-01-31,0.191667
82311,2001-02-28,0.111888
82311,2001-03-30,0.018868
82311,2001-04-30,-0.08642
82311,2001-05-31,0.109589
82311,2001-06-29,0.030864
82311,2001-07-31,-0.017964
82311,2001-08-31,0.128049
82311,2001-09-28,-0.102703
82311,2001-10-31,-0.024096
82311,2001-11-30,0.087654
82311,2001-12-31,0.015891
82311,2002-01-31,0.065143
82311,2002-02-28,0.046137
82311,2002-03-28,0.021538
82311,2002-04-30,-0.046185
82311,2002-05-31,-0.078495
82311,2002-06-28,-0.092182
82311,2002-07-31,-0.061697
82311,2002-08-30,-0.041096
82311,2002-09-30,0.01
82311,2002-10-31,0.087694
82311,2002-11-29,0.172952
82311,2002-12-31,0.042129
82311,2003-01-31,0.090426
82311,2003-02-28,0.022439
82311,2003-03-31,-0.048664
82311,2003-04-30,-0.011033
82311,2003-05-30,0.059623
82311,2003-06-30,-0.022705
82311,2003-07-31,-0.025253
82311,2003-08-29,0.027979
82311,2003-09-30,0.008065
82311,2003-10-31,0.065
82311,2003-11-28,0.098592
82311,2003-12-31,0.141026
82311,2004-01-30,-0.101124
82311,2004-02-27,0.083333
82311,2004-03-31,-0.010769
82311,2004-04-30,0.027216
82311,2004-05-28,-0.022639
82311,2004-06-30,0.038339
82311,2004-07-30,-0.024615
82311,2004-08-31,0.064669
82311,2004-09-30,0.04
82311,2004-10-29,0.025641
82311,2004-11-30,0.055556
82311,2004-12-31,0.040132
82311,2005-01-31,0.119545
82311,2005-02-28,0.068362
82311,2005-03-31,-0.089371
82311,2005-04-29,0.054007
82311,2005-05-31,0.072046
82311,2005-06-30,0.069355
82311,2005-07-29,0.074409
82311,2005-08-31,0.038839
82311,2005-09-30,0.286937
82311,2005-10-31,-0.079454
82311,2005-11-30,0.009506
82311,2005-12-30,-0.14162
82311,2006-01-31,0.307591
82311,2006-02-28,0.004362
82311,2006-03-31,-0.115269
82311,2006-04-28,0.064955
82311,2006-05-31,-0.03321
82311,2006-06-30,0.143511
82311,2006-07-31,0.027704
82311,2006-08-31,0.208184
82311,2006-09-29,0.128495
82311,2006-10-31,0.005241
82311,2006-11-30,-0.053318
82311,2006-12-29,0.024781
82311,2007-01-31,0.031265
82311,2007-02-28,0.133349
82311,2007-03-30,0.018391
82311,2007-04-30,0.097476
82311,2007-05-31,0.116903
82311,2007-06-29,0.049588
82311,2007-07-31,0.051823
82311,2007-08-31,-0.046472
82311,2007-09-28,0.103504
82311,2007-10-31,0.097932
82311,2007-11-30,-0.042244
82311,2007-12-31,0.07178
82311,2008-01-31,-0.060026
82311,2008-02-29,0.036392
82311,2008-03-31,-0.034845
82311,2008-04-30,0.141065
82311,2008-05-30,0.038576
82311,2008-06-30,-0.016056
82311,2008-07-31,-0.098758
82311,2008-08-29,-0.049723
82311,2008-09-30,-0.114887
82311,2008-10-31,-0.369157
82311,2008-11-28,0.112809
82311,2008-12-31,0.143249
82311,2009-01-30,-0.173339
82311,2009-02-27,-0.115981
82311,2009-03-31,0.282936
82311,2009-04-30,0.099915
82311,2009-05-29,0.203918
82311,2009-06-30,-0.033544
82311,2009-07-31,0.146048
82311,2009-08-31,0.070765
82311,2009-09-30,0.088771
82311,2009-10-30,-0.112269
82311,2009-11-30,0.035057
82311,2009-12-31,0.077957
45241,2000-01-31,0.098678
45241,2000-02-29,0.012037
45241,2000-03-31,0.236962
45241,2000-04-28,-0.005178
45241,2000-05-31,0.052788
45241,2000-06-30,0.141243
45241,2000-07-31,0.059406
45241,2000-08-31,-0.08528
45241,2000-09-29,0.171775
45241,2000-10-31,0.155313
45241,2000-11-30,0.022642
45241,2000-12-29,-0.019373
45241,2001-01-31,0.007865
45241,2001-02-28,0.038381
45241,2001-03-30,-0.147994
45241,2001-04-30,0.032242
45241,2001-05-31,0.21112
45241,2001-06-29,-0.041318
45241,2001-07-31,0.106338
45241,2001-08-31,-0.070528
45241,2001-09-28,-0.011916
45241,2001-10-31,0.031051
45241,2001-11-30,-0.048131
45241,2001-12-31,0.157486
45241,2002-01-31,0.011592
45241,2002-02-28,-0.040772
45241,2002-03-28,0.027414
45241,2002-04-30,-0.055814
45241,2002-05-31,-0.042909
45241,2002-06-28,-0.04104
45241,2002-07-31,0.094209
45241,2002-08-30,-0.0577
45241,2002-09-30,0.123425
45241,2002-10-31,0.194854
45241,2002-11-29,0.095316
45241,2002-12-31,-0.084878
45241,2003-01-31,0.053757
45241,2003-02-28,-0.037681
45241,2003-03-31,0.083735
45241,2003-04-30,-0.04169
45241,2003-05-30,-0.023589
45241,2003-06-30,0.084158
45241,2003-07-31,-0.125479
45241,2003-08-29,-0.018379
45241,2003-09-30,0.094681
45241,2003-10-31,-0.027988
45241,2003-11-28,0.092582
45241,2003-12-31,0.13104
45241,2004-01-30,0.20534
45241,2004-02-27,0.01329
45241,2004-03-31,-0.051139
45241,2004-04-30,-0.099693
45241,2004-05-28,-0.016905
45241,2004-06-30,-0.106641
45241,2004-07-30,-0.111955
45241,2004-08-31,-0.088288
45241,2004-09-30,-0.019411
45241,2004-10-29,-0.008007
45241,2004-11-30,-0.126233
45241,2004-12-31,0.151142
45241,2005-01-31,-0.074231
45241,2005-02-28,0.028172
45241,2005-03-31,-0.13466
45241,2005-04-29,-0.034371
45241,2005-05-31,0.081278
45241,2005-06-30,0.006998
45241,2005-07-29,0.027542
45241,2005-08-31,0.112225
45241,2005-09-30,-0.122297
45241,2005-10-31,-0.0272
45241,2005-11-30,0.030599
45241,2005-12-30,0.041208
45241,2006-01-31,0.13766
45241,2006-02-28,-0.008211
45241,2006-03-31,-0.027669
45241,2006-04-28,-0.095227
45241,2006-05-31,-0.071818
45241,2006-06-30,0.032284
45241,2006-07-31,0.19695
45241,2006-08-31,0.079249
45241,2006-09-29,0.012605
45241,2006-10-31,-0.032997
45241,2006-11-30,-0.004904
45241,2006-12-29,0.039014
45241,2007-01-31,0.108893
45241,2007-02-28,-0.077526
45241,2007-03-30,-0.006182
45241,2007-04-30,0.034409
45241,2007-05-31,-0.046984
45241,2007-06-29,-0.099783
45241,2007-07-31,-0.119387
45241,2007-08-31,-0.06393
45241,2007-09-28,-0.009035
45241,2007-10-31,0.047734
45241,2007-11-30,-0.013309
45241,2007-12-31,-0.054475
45241,2008-01-31,0.088615
45241,2008-02-29,0.002268
45241,2008-03-31,0.006035
45241,2008-04-30,-0.132467
45241,2008-05-30,0.034572
45241,2008-06-30,-0.032581
45241,2008-07-31,0.022165
45241,2008-08-29,0.005069
45241,2008-09-30,-0.207621
45241,2008-10-31,-0.178571
45241,2008-11-28,0.040895
45241,2008-12-31,0.05335
45241,2009-01-30,-0.016883
45241,2009-02-27,-0.14377
45241,2009-03-31,0.024254
45241,2009-04-30,-0.012295
45241,2009-05-29,0.092208
45241,2009-06-30,0.059941
45241,2009-07-31,0.028674
45241,2009-08-31,0.133179
45241,2009-09-30,0.005808
45241,2009-10-30,-0.060122
45241,2009-11-30,0.108059
45241,2009-12-31,0.047293
77979,2000-01-31,0.218391
77979,2000-02-29,0.188679
77979,2000-03-31,0.285714
77979,2000-04-28,-0.024691
77979,2000-05-31,-0.113924
77979,2000-06-30,0.514286
77979,2000-07-31,-0.207547
77979,2000-08-31,0.107143
77979,2000-09-29,-0.043011
77979,2000-10-31,-0.235955
77979,2000-11-30,-0.676471
77979,2000-12-29,-0.454545
77979,2001-01-31,0.583333
77979,2001-02-28,-0.157895
77979,2001-03-30,-0.625
77979,2001-04-30,0.573333
77979,2001-05-31,-0.762712
77979,2001-06-29,-0.285714
76664,2000-01-31,-0.018605
76664,2000-02-29,-0.061611
76664,2000-03-31,-0.010101
76664,2000-04-28,0.188776
76664,2000-05-31,-0.107296
76664,2000-06-30,0.0
76664,2000-07-31,-0.024038
76664,2000-08-31,0.054187
76664,2000-09-29,-0.21028
76664,2000-10-31,0.213018
76664,2000-11-30,0.092683
76664,2000-12-29,0.075893
